Point ID,y,c,gammadot,J_0,J_1,J_2,J_Magnitude,p,x,y,z,Points_Magnitude,Sigma_0,Sigma_1,Sigma_2,Sigma_3,Sigma_4,Sigma_5,Sigma_6,Sigma_7,Sigma_8,Sigma_Magnitude,SigmaP_0,SigmaP_1,SigmaP_2,SigmaP_3,SigmaP_4,SigmaP_5,SigmaP_6,SigmaP_7,SigmaP_8,SigmaP_Magnitude,U_0,U_1,U_2,U_Magnitude,vtkValidPointMask
42,0.0000756,0.184804,21.136,-0.00000301018,8.4349E-10,0,0.00000301018,6.13286,1.50552,0.0000756,0.000005,1.50552,-6.22221,0.0160634,0,0.0160634,-6.22203,0,0,0,-6.22176,10.7768,-0.000893478,0.00753925,0,0.00753925,-0.000714785,0,0,0,-0.000446739,0.0107326,0.00168605,0.00000000179737,0,0.00168605,1
43,0.0000774,0.184995,21.0735,-0.00000300949,8.12356E-10,0,0.00000300949,6.13286,1.50552,0.0000774,0.000005,1.50552,-6.22221,0.0160286,0,0.0160286,-6.22203,0,0,0,-6.22176,10.7768,-0.000893504,0.00752961,0,0.00752961,-0.000714805,0,0,0,-0.000446752,0.0107191,0.00172412,0.00000000175616,0,0.00172412,1
44,0.0000792,0.185186,21.0111,-0.00000300881,7.81221E-10,0,0.00000300881,6.13286,1.50552,0.0000792,0.000005,1.50552,-6.22221,0.0159938,0,0.0159938,-6.22203,0,0,0,-6.22176,10.7768,-0.00089353,0.00751997,0,0.00751997,-0.000714825,0,0,0,-0.000446765,0.0107056,0.0017622,0.00000000171496,0,0.0017622,1
45,0.000081,0.185377,20.9487,-0.00000300812,7.50086E-10,0,0.00000300812,6.13286,1.50552,0.000081,0.000005,1.50552,-6.22221,0.015959,0,0.015959,-6.22203,0,0,0,-6.22176,10.7768,-0.000893556,0.00751034,0,0.00751034,-0.000714845,0,0,0,-0.000446778,0.010692,0.00180027,0.00000000167376,0,0.00180027,1
46,0.0000828,0.185568,20.8863,-0.00000300743,7.18952E-10,0,0.00000300743,6.13286,1.50552,0.0000828,0.000005,1.50552,-6.22221,0.0159241,0,0.0159241,-6.22203,0,0,0,-6.22176,10.7768,-0.000893582,0.0075007,0,0.0075007,-0.000714865,0,0,0,-0.000446791,0.0106785,0.00183835,0.00000000163256,0,0.00183835,1
47,0.0000846,0.185759,20.8239,-0.00000300675,6.87817E-10,0,0.00000300675,6.13286,1.50552,0.0000846,0.000005,1.50552,-6.22221,0.0158893,0,0.0158893,-6.22203,0,0,0,-6.22176,10.7768,-0.000893608,0.00749106,0,0.00749106,-0.000714885,0,0,0,-0.000446804,0.010665,0.00187642,0.00000000159136,0,0.00187642,1
48,0.0000864,0.18595,20.7615,-0.00000300606,6.56682E-10,0,0.00000300606,6.13286,1.50552,0.0000864,0.000005,1.50552,-6.22221,0.0158545,0,0.0158545,-6.22203,0,0,0,-6.22176,10.7768,-0.000893633,0.00748143,0,0.00748143,-0.000714905,0,0,0,-0.000446817,0.0106514,0.0019145,0.00000000155015,0,0.0019145,1
49,0.0000882,0.186141,20.6991,-0.00000300537,6.25548E-10,0,0.00000300537,6.13286,1.50552,0.0000882,0.000005,1.50552,-6.22221,0.0158197,0,0.0158197,-6.22203,0,0,0,-6.22176,10.7768,-0.000893659,0.00747179,0,0.00747179,-0.000714925,0,0,0,-0.00044683,0.0106379,0.00195257,0.00000000150895,0,0.00195257,1
50,0.00009,0.186332,20.6367,-0.00000300469,5.94413E-10,0,0.00000300469,6.13286,1.50552,0.00009,0.000005,1.50552,-6.22221,0.0157849,0,0.0157849,-6.22203,0,0,0,-6.22176,10.7768,-0.000893685,0.00746215,0,0.00746215,-0.000714945,0,0,0,-0.000446842,0.0106244,0.00199065,0.00000000146775,0,0.00199065,1
51,0.0000918,0.186523,20.5742,-0.000003004,5.63278E-10,0,0.000003004,6.13286,1.50552,0.0000918,0.000005,1.50552,-6.22221,0.0157501,0,0.0157501,-6.22203,0,0,0,-6.22176,10.7768,-0.000893711,0.00745252,0,0.00745252,-0.000714965,0,0,0,-0.000446855,0.0106108,0.00202872,0.00000000142655,0,0.00202872,1
52,0.0000936,0.186714,20.5118,-0.00000300331,5.32144E-10,0,0.00000300331,6.13286,1.50552,0.0000936,0.000005,1.50552,-6.22221,0.0157153,0,0.0157153,-6.22203,0,0,0,-6.22176,10.7768,-0.000893737,0.00744288,0,0.00744288,-0.000714985,0,0,0,-0.000446868,0.0105973,0.0020668,0.00000000138535,0,0.0020668,1
53,0.0000954,0.186905,20.4494,-0.00000300263,5.01009E-10,0,0.00000300263,6.13286,1.50552,0.0000954,0.000005,1.50552,-6.22221,0.0156805,0,0.0156805,-6.22203,0,0,0,-6.22176,10.7768,-0.000893763,0.00743324,0,0.00743324,-0.000715005,0,0,0,-0.000446881,0.0105838,0.00210487,0.00000000134414,0,0.00210487,1
54,0.0000972,0.187096,20.387,-0.00000300194,4.69874E-10,0,0.00000300194,6.13286,1.50552,0.0000972,0.000005,1.50552,-6.22221,0.0156457,0,0.0156457,-6.22203,0,0,0,-6.22176,10.7768,-0.000893789,0.00742361,0,0.00742361,-0.000715026,0,0,0,-0.000446894,0.0105702,0.00214295,0.00000000130294,0,0.00214295,1
55,0.000099,0.187287,20.3246,-0.00000300126,4.38739E-10,0,0.00000300126,6.13286,1.50552,0.000099,0.000005,1.50552,-6.22221,0.0156109,0,0.0156109,-6.22203,0,0,0,-6.22176,10.7768,-0.000893814,0.00741397,0,0.00741397,-0.000715046,0,0,0,-0.000446907,0.0105567,0.00218102,0.00000000126174,0,0.00218102,1
56,0.0001008,0.187485,20.2625,-0.00000300079,4.15182E-10,0,0.00000300079,6.13286,1.50552,0.0001008,0.000005,1.50552,-6.22221,0.0155758,0,0.0155758,-6.22203,0,0,0,-6.22176,10.7768,-0.000893816,0.00740393,0,0.00740393,-0.000715046,0,0,0,-0.000446908,0.0105426,0.00221772,0.00000000122642,0,0.00221772,1
